date,temperature_2m,dew_point_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,rain
2026-05-16 00:00:00+05:30,24.9,24.35,96.7651,9.172938,344.05453,0.0
2026-05-16 01:00:00+05:30,24.7,24.15,96.7603,8.641874,358.80652,0.0
2026-05-16 02:00:00+05:30,24.55,23.85,95.88835,8.836514,356.49652,0.0
2026-05-16 03:00:00+05:30,24.3,23.6,95.88081,8.107996,2.5447557,0.0
2026-05-16 04:00:00+05:30,24.3,23.65,96.17001,7.8149853,345.32355,0.0
2026-05-16 05:00:00+05:30,24.4,23.5,94.73537,7.120815,339.27435,0.0
2026-05-16 06:00:00+05:30,24.65,23.8,95.030396,6.2613096,341.56494,0.0
2026-05-16 07:00:00+05:30,25.95,24.65,92.55786,5.896202,347.66092,0.0
2026-05-16 08:00:00+05:30,26.65,24.6,88.54504,7.6642804,279.46225,0.1
2026-05-16 09:00:00+05:30,28.25,24.6,80.62712,10.694485,276.76608,0.20000002
2026-05-16 10:00:00+05:30,29.85,24.4,72.623474,11.966953,276.91113,0.0
2026-05-16 11:00:00+05:30,29.8,23.65,69.62483,16.029099,294.55045,0.90000004
2026-05-16 12:00:00+05:30,28.6,24.7,79.47705,9.67657,316.5074,0.7
2026-05-16 13:00:00+05:30,28.85,24.3,76.48008,13.776763,287.48807,0.10000001
2026-05-16 14:00:00+05:30,27.25,23.55,80.25543,25.875586,311.89825,0.3
2026-05-16 15:00:00+05:30,27.55,23.95,80.77902,19.421656,325.57346,0.1
2026-05-16 16:00:00+05:30,27.55,24.2,82.00057,15.299999,331.9276,0.1
2026-05-16 17:00:00+05:30,27.6,24.7,84.24549,13.466357,351.54504,0.29999998
2026-05-16 18:00:00+05:30,26.8,24.8,88.82188,9.9,360.0,0.0
2026-05-16 19:00:00+05:30,26.4,24.75,90.66884,10.4166975,350.04944,0.0
2026-05-16 20:00:00+05:30,26.0,24.85,93.393456,10.920824,351.46933,0.0
2026-05-16 21:00:00+05:30,25.95,24.75,93.11262,11.27553,343.3007,0.0
2026-05-16 22:00:00+05:30,25.9,24.55,92.27882,12.703715,339.2538,0.0
2026-05-16 23:00:00+05:30,26.55,24.5,88.53701,13.288341,335.1707,0.0
2026-05-17 00:00:00+05:30,26.6,24.3,87.22542,12.325728,331.1893,0.0
2026-05-17 01:00:00+05:30,26.4,24.4,88.790474,10.32924,337.45688,0.0
2026-05-17 02:00:00+05:30,26.25,24.35,89.31236,9.621163,342.58194,0.0
2026-05-17 03:00:00+05:30,26.1,24.35,90.10767,9.67657,316.5074,0.0
2026-05-17 04:00:00+05:30,25.5,24.1,91.98026,16.928614,314.56924,0.2
2026-05-17 05:00:00+05:30,23.85,23.4,97.32565,11.656998,256.60748,0.4
2026-05-17 06:00:00+05:30,24.2,23.6,96.45739,10.484902,281.88864,2.8
2026-05-17 07:00:00+05:30,24.75,24.15,96.47167,9.997699,246.66594,3.0
2026-05-17 08:00:00+05:30,25.55,24.65,94.77922,8.647496,272.3859,2.2
2026-05-17 09:00:00+05:30,26.75,24.7,88.55302,13.151091,300.4257,0.4
2026-05-17 10:00:00+05:30,27.95,24.55,81.80384,8.187527,303.34073,0.1
2026-05-17 11:00:00+05:30,28.75,24.9,79.734886,13.88919,273.7152,0.1
2026-05-17 12:00:00+05:30,28.65,25.15,81.40292,12.632101,274.08554,0.0
2026-05-17 13:00:00+05:30,28.4,25.0,81.85867,12.440851,273.31772,0.0
2026-05-17 14:00:00+05:30,26.8,24.8,88.82188,16.203999,271.273,0.0
2026-05-17 15:00:00+05:30,25.95,24.8,93.39107,17.015474,263.92764,0.2999997
2026-05-17 16:00:00+05:30,25.85,24.8,93.94581,13.004921,274.76355,0.39999998
2026-05-17 17:00:00+05:30,27.85,24.35,81.30327,13.684735,296.56497,0.5
2026-05-17 18:00:00+05:30,26.35,24.5,89.5876,10.4166975,288.12195,0.3
2026-05-17 19:00:00+05:30,26.05,24.55,91.463135,10.009036,307.6943,0.1
2026-05-17 20:00:00+05:30,25.8,24.65,93.38394,8.880405,342.29947,0.1
2026-05-17 21:00:00+05:30,25.0,24.5,97.05749,10.829959,344.57776,0.100000024
2026-05-17 22:00:00+05:30,24.95,24.6,97.931404,7.8728137,349.46088,0.7
2026-05-17 23:00:00+05:30,25.55,25.05,97.06935,7.9220443,338.682,0.1
2026-05-18 00:00:00+05:30,25.1,24.85,98.52022,6.320538,340.0168,0.2
2026-05-18 01:00:00+05:30,24.7,24.45,98.51584,8.287822,357.5105,0.0
2026-05-18 02:00:00+05:30,24.45,24.0,97.33751,6.341009,6.5197067,0.0
2026-05-18 03:00:00+05:30,24.1,23.9,98.80577,8.427383,19.983198,0.2
2026-05-18 04:00:00+05:30,23.8,23.65,99.101166,7.289445,32.905247,0.0
2026-05-18 05:00:00+05:30,24.9,24.5,97.63814,3.4247334,356.98727,0.0
2026-05-18 06:00:00+05:30,25.1,24.55,96.76978,4.186693,25.463305,0.0
2026-05-18 07:00:00+05:30,26.3,25.1,93.12995,3.7842832,25.346138,0.0
2026-05-18 08:00:00+05:30,27.6,24.7,84.24549,6.9153743,308.65982,0.0
2026-05-18 09:00:00+05:30,26.95,24.9,88.569016,8.211235,243.9967,0.5
2026-05-18 10:00:00+05:30,28.85,24.65,78.09922,12.525207,262.5687,0.0
2026-05-18 11:00:00+05:30,29.9,24.5,72.84981,13.324863,231.58191,0.0
2026-05-18 12:00:00+05:30,29.75,24.6,73.9221,15.986593,234.16226,0.0
2026-05-18 13:00:00+05:30,29.65,24.55,74.12698,16.67892,240.94548,0.0
2026-05-18 14:00:00+05:30,29.55,24.4,73.889,17.363237,250.62576,0.0
2026-05-18 15:00:00+05:30,28.9,24.45,76.947174,17.637245,255.8219,0.0
2026-05-18 16:00:00+05:30,27.7,23.85,79.59369,16.396805,252.75845,0.0
2026-05-18 17:00:00+05:30,29.25,23.75,72.30218,14.813683,242.50095,0.099999905
2026-05-18 18:00:00+05:30,28.7,23.45,73.30436,13.18308,235.0079,0.1
2026-05-18 19:00:00+05:30,28.4,23.35,74.14394,10.548061,233.32556,0.0
2026-05-18 20:00:00+05:30,27.75,23.45,77.47246,8.297589,229.39879,0.0
2026-05-18 21:00:00+05:30,27.2,23.7,81.221725,7.145796,229.08571,0.1
2026-05-18 22:00:00+05:30,26.9,23.75,82.91441,7.2649574,221.98714,0.2
2026-05-18 23:00:00+05:30,26.7,24.05,85.42241,7.458606,250.25307,0.10000001
2026-05-19 00:00:00+05:30,25.1,24.1,94.19522,5.6262593,277.3523,0.8
2026-05-19 01:00:00+05:30,25.1,24.6,97.05965,2.5455842,224.9999,1.4
2026-05-19 02:00:00+05:30,25.15,24.55,96.482025,7.9932966,215.83774,1.2
2026-05-19 03:00:00+05:30,25.45,24.35,93.6474,4.1046314,195.25517,1.1999999
2026-05-19 04:00:00+05:30,25.15,24.35,95.33372,3.1845248,222.70937,1.4000001
2026-05-19 05:00:00+05:30,24.85,24.05,95.32345,9.504273,204.62355,0.4
2026-05-19 06:00:00+05:30,25.3,24.65,96.198,3.9966483,215.83774,1.0
2026-05-19 07:00:00+05:30,26.2,25.15,93.96107,4.5891175,205.55992,0.5
2026-05-19 08:00:00+05:30,27.1,25.2,89.37603,6.945761,211.21834,0.19999999
2026-05-19 09:00:00+05:30,28.2,24.65,81.10422,11.480557,221.18582,0.0
2026-05-19 10:00:00+05:30,28.7,24.7,79.017166,13.379461,222.27362,0.3
2026-05-19 11:00:00+05:30,28.75,24.65,78.553246,8.714677,231.7098,0.20000002
2026-05-19 12:00:00+05:30,29.35,24.65,75.87297,9.5535755,227.29063,0.0
2026-05-19 13:00:00+05:30,28.8,24.7,78.56031,11.525623,231.34016,0.0
2026-05-19 14:00:00+05:30,28.75,24.8,79.26038,11.556504,232.59456,0.1
2026-05-19 15:00:00+05:30,28.2,24.2,78.94802,13.217443,240.64233,0.10000001
2026-05-19 16:00:00+05:30,28.4,24.5,79.44997,11.672275,250.16779,0.1
2026-05-19 17:00:00+05:30,29.55,24.45,74.110565,9.927779,247.61981,0.0
2026-05-19 18:00:00+05:30,27.4,24.3,83.2212,15.481046,246.71391,0.2
2026-05-19 19:00:00+05:30,26.7,24.75,89.07973,10.484902,281.88864,0.20000002
2026-05-19 20:00:00+05:30,26.5,24.75,90.1356,6.7469993,279.21094,0.1
2026-05-19 21:00:00+05:30,25.95,24.7,92.83488,7.172949,287.52567,0.40000004
2026-05-19 22:00:00+05:30,25.45,24.75,95.91532,5.1575575,330.75128,1.0999999
2026-05-19 23:00:00+05:30,25.55,24.95,96.492355,7.029225,357.0644,0.8000001
2026-05-20 00:00:00+05:30,24.1,24.1,100.0,10.075177,41.37842,0.0
2026-05-20 01:00:00+05:30,24.0,23.75,98.508095,4.991553,64.35905,0.59999996
2026-05-20 02:00:00+05:30,24.05,23.85,98.80537,4.613762,69.44388,0.2
2026-05-20 03:00:00+05:30,24.75,24.25,97.05206,3.4199998,270.0,0.5
2026-05-20 04:00:00+05:30,24.8,24.1,95.895874,6.198903,295.82092,0.3
2026-05-20 05:00:00+05:30,25.2,24.75,97.35219,7.8954163,335.77228,0.2
2026-05-20 06:00:00+05:30,25.15,24.85,98.22726,7.2805495,351.4693,0.0
2026-05-20 07:00:00+05:30,26.0,25.3,95.93166,5.771239,3.5762644,0.0
2026-05-20 08:00:00+05:30,27.2,25.3,89.38347,6.698806,329.30035,0.0
2026-05-20 09:00:00+05:30,28.85,25.15,80.46428,11.368535,293.31772,0.099999994
2026-05-20 10:00:00+05:30,29.7,24.95,75.70116,15.517629,273.9908,0.10000001
2026-05-20 11:00:00+05:30,30.45,24.9,72.29393,16.740969,269.38394,0.10000001
2026-05-20 12:00:00+05:30,30.45,24.9,72.29393,18.73557,261.7143,0.0
2026-05-20 13:00:00+05:30,30.2,25.0,73.77612,17.910677,264.2322,0.0
2026-05-20 14:00:00+05:30,29.85,25.0,75.27454,16.65754,263.79663,0.0
2026-05-20 15:00:00+05:30,29.5,24.95,76.5787,18.72346,268.89832,0.0
2026-05-20 16:00:00+05:30,28.95,24.85,78.58136,17.11515,272.41098,0.0
2026-05-20 17:00:00+05:30,29.45,25.2,77.95253,12.251905,272.52606,0.0
2026-05-20 18:00:00+05:30,28.75,25.0,80.2119,11.34,270.0,0.0
2026-05-20 19:00:00+05:30,28.45,24.85,80.893974,11.212135,275.52744,0.0
2026-05-20 20:00:00+05:30,28.35,24.65,80.39935,10.658068,274.8439,0.0
2026-05-20 21:00:00+05:30,28.0,24.6,81.80996,11.391313,275.44025,0.1
2026-05-20 22:00:00+05:30,27.6,24.7,84.24549,10.644379,266.12155,0.1
2026-05-20 23:00:00+05:30,27.3,24.95,87.02753,5.4029994,268.09088,0.1
2026-05-21 00:00:00+05:30,26.95,25.0,89.09888,5.0528407,265.91446,0.1
2026-05-21 01:00:00+05:30,26.8,25.1,90.42552,6.302571,271.63654,0.1
2026-05-21 02:00:00+05:30,26.55,25.15,92.04021,5.9834766,291.16132,0.1
2026-05-21 03:00:00+05:30,26.3,25.2,93.68624,6.1226463,294.30453,0.099999994
2026-05-21 04:00:00+05:30,26.15,25.4,95.65145,5.983477,285.7087,0.099999994
2026-05-21 05:00:00+05:30,25.85,25.3,96.78752,4.080882,311.42358,0.3
2026-05-21 06:00:00+05:30,25.85,25.35,97.0758,2.995797,327.26477,0.5
2026-05-21 07:00:00+05:30,26.65,25.8,95.10213,7.0015144,287.96924,0.099999994
2026-05-21 08:00:00+05:30,27.3,25.4,89.39093,5.3457265,315.0001,0.2
2026-05-21 09:00:00+05:30,28.35,24.9,81.608765,14.411245,260.6554,0.0
2026-05-21 10:00:00+05:30,29.45,24.65,75.436356,16.67795,263.1819,0.1
2026-05-21 11:00:00+05:30,29.9,24.8,74.16802,18.080818,260.25644,0.10000001
2026-05-21 12:00:00+05:30,28.45,24.55,79.45671,24.056108,256.58762,0.099999994
2026-05-21 13:00:00+05:30,28.25,25.2,83.565865,12.632101,274.08554,0.39999998
2026-05-21 14:00:00+05:30,28.0,25.25,85.04454,15.865546,266.7481,0.5
2026-05-21 15:00:00+05:30,28.35,25.2,83.08107,15.655862,278.59583,0.5
2026-05-21 16:00:00+05:30,28.15,24.8,82.07296,15.669307,268.02512,0.3
